Rank,Country,Full Name,Nickname,HLTV_ID
1,Ukraine,Oleksandr Kostyliev,⁠s1mple⁠,7998
2,France,Mathieu Herbaut,⁠ZywOo⁠,11893
3,Russia,Dmitry Sokolov,⁠sh1ro⁠,16920
4,Russia,Sergey Rykhtorov,⁠Ax1Le⁠,16555
5,Bosnia and Herzegovina,Nikola Kovač,⁠NiKo⁠,3741
6,Latvia,Helvijs Saukants,broky,18053
7,Russia,Ilya Osipov,m0NESY,19230
8,Estonia,Robin Kool,ropz,11816
9,Brazil,Kaike Cerato,⁠KSCERATO⁠,15631
10,Denmark,Martin Lund,⁠stavn⁠,10994
11,Canada,Russel Van Dulken,Twistzz,10394
12,Denmark,Benjamin Bremer,⁠blameF⁠,15165
13,Norway,Håvard Nygaard,⁠rain⁠,8183
14,Bosnia and Herzegovina,Nemanja Kovač,huNter-,3972
15,Latvia,Mareks Gaļinskis,⁠YEKINDAR⁠,13915
16,Ukraine,Valeriy Vakhovskiy,b1t,18987
17,Slovakia,David Čerňanský,⁠frozen⁠,9960
18,Israel,Lotan Giladi,Spinx,18221
19,Brazil,Yuri Santos,yuurih,12553
20,Russia,Dzhami Ali,Jame,13776
21,Russia,Denis Sharipov,electroNic,8918
22,United States,Jonathan Jablonowski,⁠EliGE⁠,8738
23,Canada,Keith Markovic,NAF,8520
24,Russia,Abdul Gasanov,degster,17306
25,Spain,Álvaro García,SunPayus,19164
26,Denmark,Kristian Wienecke,⁠k0nfig⁠,9078
27,Russia,Evgenii Lebedev,FL1T,12732
28,Germany,Florian Rische,syrsoN,7266
29,Denmark,Casper Møller,cadiaN,7964
30,Sweden,Fredrik Sterner,REZ,9278
